,Frac_Variability,HR_24,Signif_Avg,Pivot_Energy,HR_35,HR_37,LP_Flux_Density,HR_36,HR_47,HR_57,PLEC_ExpfactorS,HR_46,Photon Index,Variability_Index,CLASS1
0,0.42913482,0.0159968080752423,24.49722,2065.1467,0.0188253839877285,0.040747093529818,1.7783626e-13,0.0245816578741839,0.0342164117747929,0.0219385381489581,0.040948223,0.0180447590635915,2.0816336,51.74239,1
1,0.0,0.020496334127111,5.2516475,2869.2637,0.0121208635351016,0.0776408867611737,1.3973058e-14,0.0185291310108307,0.0695291405172081,0.0655817405358666,0.032804377,0.0103749252731014,2.1089518,9.374194,1
2,1.0881721,0.0349080076786325,46.425827,340.91953,0.075212660940992,0.0806409041219577,4.368817e-11,0.0678220675131216,0.0611263734495873,0.0054613675602243,0.18454067,0.0482750769613915,2.5454607,1861.6034,2
3,0.0,0.0077435723052986,16.672523,3402.819,0.009861125505868,0.0946628564309273,2.6206439e-14,0.0226785522440008,0.0893014451945616,0.0848809658049249,0.18185906,0.0172735499335092,1.5992589,10.370596,1
4,0.0,0.0120396429817975,5.5522084,2935.824,0.0174433889818639,0.0799019896882325,2.0622496e-14,0.0792222169841547,0.0785235763867378,0.0625457745981504,0.57662684,0.0778436549240467,2.1385322,13.482685,1
5,0.0,0.0185198934980351,13.404971,1446.4923,0.0190923126382786,0.127045869357576,1.7970576e-13,0.0985977142788294,0.1179006902069755,0.1082160455005213,0.18503946,0.0893953012490365,2.0422213,7.8673267,1
6,0.45170566,0.0029474737704344,6.878327,2795.2131,0.0210346247881861,0.0813857543252932,2.6746307e-14,0.0318932295895246,0.0762575984186521,0.0604546229429927,0.5594674,0.0267374484523755,1.7820854,19.498081,1
7,0.9457461,0.0255843199019954,11.245723,683.055,0.0990691061865308,0.0991534172981501,1.6769217e-12,0.0943989817201087,0.0860298466293054,8.514751914209923e-05,0.16206774,0.081264042100273,2.5576503,148.10793,2
8,0.84219086,0.0223745862964559,23.338678,691.1044,0.0280477505119311,0.1207987569539891,1.6288045e-12,0.037971579593932,0.1102741751927897,0.0930663275746682,0.080881566,0.0273159710675705,2.322214,189.31395,2
9,0.44942507,0.0294281274808776,16.086971,598.2377,0.0467561067477842,0.0746430155245302,2.8355265e-12,0.106711093701767,0.0609522275018943,0.0279845754151373,0.23886833,0.0930943612440176,2.600829,55.450825,2
10,0.49450755,0.0194491965146008,5.414082,2149.5942,0.0210122720237984,0.1187514391117052,3.2884438e-14,0.0274454458572409,0.1092915384344568,0.0979836595938113,0.53097296,0.0178658547264893,2.1678643,26.032305,1
11,0.0,0.0122153455937874,7.125673,2084.9785,0.0199374544490211,0.0949510995940188,4.8990854e-14,0.1035128302687302,0.0859242173517414,0.0751559215592135,0.3561921,0.0945007231580651,1.8784531,6.389583,1
12,0.48748028,0.0249866558746433,7.211533,1199.5168,0.0198236087638773,0.0707141115046266,1.2143986e-13,0.0863600009305534,0.0584657787805113,0.0509619416431148,0.04236748,0.0741395669015876,2.3892572,22.026712,1
13,0.0,0.0149446895275618,56.51904,1430.0842,0.016431209416122,0.0986848658594581,1.0624387e-12,0.0294934578000062,0.091903559200535,0.0823872483301985,0.07838052,0.0226546577357566,1.8980258,8.622466,1
14,0.0,0.0133883073567224,11.07414,4481.3696,0.0077101218604885,0.0813650689562123,1.222227e-14,0.0192509369805395,0.0761816319380314,0.0737011823972696,0.17989486,0.0140365792968628,1.8102539,13.541552,1
15,0.10027631,0.0208817838460008,18.235521,1420.2627,0.01757896609936,0.0972814211683829,3.038242e-13,0.0254860390075617,0.088584065912235,0.0798389882661465,0.03428638,0.0167168197385269,2.2194188,15.371203,1
16,0.4184122,0.0157661665828008,64.89692,1330.3015,0.0173453742833363,0.0926782915737127,1.3861759e-12,0.0259273528942085,0.0850919044887944,0.0754542129298194,0.05106355,0.0182842877068414,1.9197568,234.30939,1
17,0.47500834,0.0222123526288927,9.9780035,1586.7131,0.0208138320249826,0.0873282084686149,9.3502476e-14,0.0314179945876897,0.0748334262686494,0.0666354954298523,0.044191033,0.0188484688428293,2.261954,26.521513,3
18,0.22463594,0.0197122189984201,13.523349,1811.7891,0.0136300785946963,0.0388656196659828,8.0521276e-14,0.0839516429565059,0.0304897205508453,0.0252489164689248,0.055817317,0.0756190427739732,2.124825,17.160936,1
19,0.7932924,0.0209420464574075,6.997116,1345.3511,0.113724419045806,0.0768408025283944,1.165011e-13,0.0296378597810184,0.0680183127940169,-0.0372087719055566,0.048083626,0.0207744769560843,2.3850918,41.120056,2
20,0.72519034,0.0272037425103934,24.288837,571.9983,0.0273658043383669,0.093385559993667,3.1576564e-12,0.0826844448582783,0.0786932838525572,0.0661889061017943,0.1442938,0.0679665771503947,2.313965,175.40004,2
21,0.9433384,0.0219532988305228,28.245321,724.0235,0.0265346197532081,0.0951425056392152,2.541146e-12,0.0968578412501161,0.0844844866070341,0.0687815296868185,0.10074445,0.0862031678792195,2.2577264,346.11282,2
22,1.2962931,0.0209035542806579,11.10404,1677.0107,0.017861206185711,0.0953752119849262,1.0164886e-13,0.100078055549136,0.0857255707719471,0.0776462775006114,0.110207915,0.0904369240387432,2.2566066,106.5736,2
23,0.31255382,0.0163016438135141,24.767956,1412.678,0.0179446013705735,0.0897554906141281,3.089228e-13,0.0330873558181911,0.0801076028746953,0.0719267363511724,0.115646675,0.0233771130034589,1.9156355,32.80153,1
24,0.8896143,0.0191450719675453,9.183543,2385.9421,0.0138995524666873,0.093474842701574,4.2377133e-14,0.068575514823985,0.0868231642362035,0.0796788136091802,0.00025475587,0.0618978763410959,2.1819768,42.150116,2
25,0.0,0.0123477487187292,14.7916355,3299.1636,0.0168748996850143,0.0267231357191205,2.5842525e-14,0.0186452614312079,0.019926605349382,0.009852679102058,0.004903145,0.0118466120105039,1.9045731,8.5906105,1
26,0.73931456,0.0204378346321885,9.59528,1146.0089,0.0360756132152545,0.0766258298025643,2.6981341e-13,0.0757436716661501,0.0670241992108521,0.0406626212388998,0.3078175,0.0661408246764219,2.2126043,40.66387,1
