,y_test,y_pred,y_proba_0,y_proba_1
0,1.0,1.0,0.013645533374290081,0.98635446662571
1,0.0,1.0,0.012039707266949256,0.9879602927330506
2,0.0,0.0,0.9682470039544342,0.03175299604556599
3,0.0,0.0,0.6139793400121792,0.38602065998782087
4,0.0,1.0,0.4885074282548989,0.511492571745101
5,1.0,1.0,0.02077672543100172,0.9792232745689983
6,1.0,1.0,0.14630549534813134,0.8536945046518689
7,1.0,1.0,0.0104902599442929,0.9895097400557074
8,1.0,1.0,0.03403225948349751,0.9659677405165026
9,0.0,0.0,0.9415341803595109,0.058465819640488935
10,1.0,1.0,0.26019413755583637,0.7398058624441637
11,0.0,0.0,0.6857298990960612,0.31427010090393886
12,0.0,1.0,0.37232424909470624,0.6276757509052938
13,1.0,1.0,0.06166435635946925,0.9383356436405309
14,0.0,0.0,0.9882986239756428,0.011701376024357349
15,0.0,0.0,0.8199620437151198,0.18003795628488012
16,1.0,1.0,0.4977342898187291,0.5022657101812709
17,0.0,0.0,0.9561899300268554,0.04381006997314476
18,0.0,0.0,0.9086439171220002,0.09135608287799973
19,0.0,1.0,0.20901700078496277,0.7909829992150371
20,1.0,1.0,0.05562668055089317,0.9443733194491069
21,0.0,0.0,0.9930891201961891,0.0069108798038109796
22,0.0,0.0,0.6711894242800114,0.3288105757199885
23,0.0,0.0,0.9984363253018353,0.0015636746981648147
24,0.0,0.0,0.995439728233458,0.004560271766542024
25,0.0,0.0,0.8680141075349098,0.13198589246509032
26,1.0,1.0,0.01663107097552128,0.9833689290244786
27,0.0,0.0,0.9679171156590207,0.03208288434097923
28,1.0,1.0,0.0063293058897813505,0.9936706941102187
29,0.0,0.0,0.9595293572929993,0.04047064270700089
30,0.0,0.0,0.9156651878707915,0.08433481212920842
31,0.0,0.0,0.9701856178204862,0.029814382179513776
32,0.0,0.0,0.8972518054401515,0.10274819455984838
33,1.0,0.0,0.6161724903216974,0.38382750967830254
34,1.0,0.0,0.5315013263986192,0.46849867360138087
35,0.0,0.0,0.9749491057746471,0.025050894225352716
36,1.0,1.0,0.03437369001201859,0.9656263099879814
37,0.0,0.0,0.9509794387247963,0.04902056127520362
38,0.0,0.0,0.9768870902234893,0.023112909776510683
39,0.0,0.0,0.9994882257998221,0.0005117742001776384
40,1.0,0.0,0.726862748607713,0.2731372513922871
41,1.0,1.0,0.12456823250704349,0.8754317674929567
42,0.0,0.0,0.9994912647335514,0.0005087352664487033
43,0.0,1.0,0.268173485547922,0.731826514452078
44,0.0,0.0,0.9946934914945265,0.0053065085054734935
45,0.0,0.0,0.9961004427141112,0.003899557285888911
46,0.0,0.0,0.9965308259142697,0.003469174085730354
47,1.0,0.0,0.5545295346355232,0.4454704653644767
48,0.0,0.0,0.9812082175011028,0.018791782498897108
49,0.0,0.0,0.817621586861725,0.18237841313827477
50,0.0,0.0,0.559392875994603,0.44060712400539703
51,0.0,0.0,0.7848342355931818,0.2151657644068182
52,1.0,0.0,0.7652114894007943,0.23478851059920575
